Algorithm,swapRate,ReverseSortedRatio,ExecutionTime
H,0.000000,1.000000,88
M,0.000000,1.000000,47
Q,0.000000,1.000000,727
R,0.000000,1.000000,67
H,0.000001,0.999998,93
M,0.000001,0.999998,41
Q,0.000001,0.999998,535
R,0.000001,0.999998,51
H,0.000002,0.999996,69
M,0.000002,0.999996,31
Q,0.000002,0.999996,528
R,0.000002,0.999996,30
H,0.000003,0.999994,63
M,0.000003,0.999994,18
Q,0.000003,0.999994,516
R,0.000003,0.999994,31
H,0.000004,0.999992,71
M,0.000004,0.999992,24
Q,0.000004,0.999992,596
R,0.000004,0.999992,44
H,0.000005,0.999990,80
M,0.000005,0.999990,32
Q,0.000005,0.999990,759
R,0.000005,0.999990,44
H,0.000006,0.999990,127
M,0.000006,0.999990,22
Q,0.000006,0.999990,411
R,0.000006,0.999990,37
H,0.000007,0.999988,83
M,0.000007,0.999988,31
Q,0.000007,0.999988,494
R,0.000007,0.999988,38
H,0.000008,0.999984,85
M,0.000008,0.999984,23
Q,0.000008,0.999984,513
R,0.000008,0.999984,30
H,0.000009,0.999982,78
M,0.000009,0.999982,24
Q,0.000009,0.999982,536
R,0.000009,0.999982,32
H,0.000010,0.999980,70
M,0.000010,0.999980,30
Q,0.000010,0.999980,449
R,0.000010,0.999980,35
H,0.000011,0.999978,95
M,0.000011,0.999978,30
Q,0.000011,0.999978,358
R,0.000011,0.999978,36
H,0.000012,0.999976,63
M,0.000012,0.999976,21
Q,0.000012,0.999976,431
R,0.000012,0.999976,37
H,0.000013,0.999974,60
M,0.000013,0.999974,25
Q,0.000013,0.999974,459
R,0.000013,0.999974,31
H,0.000014,0.999972,69
M,0.000014,0.999972,30
Q,0.000014,0.999972,534
R,0.000014,0.999972,36
H,0.000015,0.999970,71
M,0.000015,0.999970,22
Q,0.000015,0.999970,404
R,0.000015,0.999970,35
H,0.000016,0.999968,64
M,0.000016,0.999968,24
Q,0.000016,0.999968,617
R,0.000016,0.999968,37
H,0.000017,0.999966,70
