Algorithm,swapRate,ReverseSortedRatio,ExecutionTime
H,0.00000,1.000000,91
M,0.00000,1.000000,52
Q,0.00000,1.000000,706
R,0.00000,1.000000,67
H,0.00001,0.999980,77
M,0.00001,0.999980,55
Q,0.00001,0.999980,491
R,0.00001,0.999980,33
H,0.00002,0.999960,63
M,0.00002,0.999960,23
Q,0.00002,0.999960,557
R,0.00002,0.999960,35
H,0.00003,0.999940,66
M,0.00003,0.999940,25
Q,0.00003,0.999940,475
R,0.00003,0.999940,30
H,0.00004,0.999920,62
M,0.00004,0.999920,23
Q,0.00004,0.999920,348
R,0.00004,0.999920,44
H,0.00005,0.999900,77
M,0.00005,0.999900,26
Q,0.00005,0.999900,420
R,0.00005,0.999900,33
H,0.00006,0.999880,70
M,0.00006,0.999880,26
Q,0.00006,0.999880,469
R,0.00006,0.999880,31
H,0.00007,0.999860,65
M,0.00007,0.999860,28
Q,0.00007,0.999860,331
R,0.00007,0.999860,28
H,0.00008,0.999840,59
M,0.00008,0.999840,28
Q,0.00008,0.999840,323
R,0.00008,0.999840,38
H,0.00009,0.999820,60
M,0.00009,0.999820,29
Q,0.00009,0.999820,210
R,0.00009,0.999820,31
H,0.00010,0.999800,62
M,0.00010,0.999800,30
Q,0.00010,0.999800,298
R,0.00010,0.999800,38
H,0.00011,0.999780,57
M,0.00011,0.999780,29
Q,0.00011,0.999780,135
R,0.00011,0.999780,29
H,0.00012,0.999760,66
M,0.00012,0.999760,23
Q,0.00012,0.999760,271
R,0.00012,0.999760,32
H,0.00013,0.999740,63
M,0.00013,0.999740,27
Q,0.00013,0.999740,182
R,0.00013,0.999740,31
H,0.00014,0.999720,66
M,0.00014,0.999720,27
Q,0.00014,0.999720,222
R,0.00014,0.999720,34
H,0.00015,0.999700,69
M,0.00015,0.999700,27
Q,0.00015,0.999700,232
R,0.00015,0.999700,33
H,0.00016,0.999681,56
M,0.00016,0.999681,27
Q,0.00016,0.999681,219
R,0.00016,0.999681,40
H,0.00017,0.999660,58
M,0.00017,0.999660,24
Q,0.00017,0.999660,390
R,0.00017,0.999660,42
