Algorithm,swapRate,ReverseSortedRatio,ExecutionTime
H,0.0000,1.000000,95
M,0.0000,1.000000,34
Q,0.0000,1.000000,740
R,0.0000,1.000000,53
H,0.0001,0.999800,72
M,0.0001,0.999800,54
Q,0.0001,0.999800,340
R,0.0001,0.999800,35
H,0.0002,0.999600,62
M,0.0002,0.999600,39
Q,0.0002,0.999600,156
R,0.0002,0.999600,42
H,0.0003,0.999401,53
M,0.0003,0.999401,29
Q,0.0003,0.999401,173
R,0.0003,0.999401,36
H,0.0004,0.999200,63
M,0.0004,0.999200,33
Q,0.0004,0.999200,109
R,0.0004,0.999200,29
H,0.0005,0.999000,61
M,0.0005,0.999000,31
Q,0.0005,0.999000,116
R,0.0005,0.999000,44
H,0.0006,0.998801,58
M,0.0006,0.998801,34
Q,0.0006,0.998801,149
R,0.0006,0.998801,27
H,0.0007,0.998603,66
M,0.0007,0.998603,33
Q,0.0007,0.998603,122
R,0.0007,0.998603,33
H,0.0008,0.998401,75
M,0.0008,0.998401,24
Q,0.0008,0.998401,131
R,0.0008,0.998401,41
H,0.0009,0.998206,61
M,0.0009,0.998206,23
Q,0.0009,0.998206,82
R,0.0009,0.998206,34
H,0.0010,0.998000,65
M,0.0010,0.998000,23
Q,0.0010,0.998000,123
R,0.0010,0.998000,35
H,0.0011,0.997807,62
M,0.0011,0.997807,23
Q,0.0011,0.997807,105
R,0.0011,0.997807,27
H,0.0012,0.997605,66
M,0.0012,0.997605,24
Q,0.0012,0.997605,89
R,0.0012,0.997605,27
H,0.0013,0.997407,58
M,0.0013,0.997407,28
Q,0.0013,0.997407,90
R,0.0013,0.997407,31
H,0.0014,0.997212,65
M,0.0014,0.997212,28
Q,0.0014,0.997212,96
R,0.0014,0.997212,34
H,0.0015,0.997005,58
M,0.0015,0.997005,32
Q,0.0015,0.997005,87
R,0.0015,0.997005,37
H,0.0016,0.996811,58
M,0.0016,0.996811,29
Q,0.0016,0.996811,131
R,0.0016,0.996811,26
H,0.0017,0.996613,56
M,0.0017,0.996613,24
Q,0.0017,0.996613,84
R,0.0017,0.996613,30
H,0.0018,0.996411,64
M,0.0018,0.996411,24
Q,0.0018,0.996411,78
R,0.0018,0.996411,33
H,0.0019,0.996214,58
M,0.0019,0.996214,24
Q,0.0019,0.996214,108
R,0.0019,0.996214,26
H,0.0020,0.996012,56
M,0.0020,0.996012,29
Q,0.0020,0.996012,84
R,0.0020,0.996012,32
H,0.0021,0.995818,57
M,0.0021,0.995818,23
Q,0.0021,0.995818,98
R,0.0021,0.995818,38
H,0.0022,0.995631,62
M,0.0022,0.995631,30
Q,0.0022,0.995631,102
R,0.0022,0.995631,33
H,0.0023,0.995411,55
M,0.0023,0.995411,29
Q,0.0023,0.995411,102
R,0.0023,0.995411,27
H,0.0024,0.995226,67
M,0.0024,0.995226,29
Q,0.0024,0.995226,83
R,0.0024,0.995226,32
H,0.0025,0.995033,58
M,0.0025,0.995033,32
Q,0.0025,0.995033,78
R,0.0025,0.995033,29
H,0.0026,0.994824,69
M,0.0026,0.994824,24
Q,0.0026,0.994824,92
R,0.0026,0.994824,41
H,0.0027,0.994633,56
M,0.0027,0.994633,26
Q,0.0027,0.994633,82
R,0.0027,0.994633,37
H,0.0028,0.994436,68
M,0.0028,0.994436,24
Q,0.0028,0.994436,71
R,0.0028,0.994436,30
H,0.0029,0.994236,59
M,0.0029,0.994236,30
Q,0.0029,0.994236,79
R,0.0029,0.994236,32
H,0.0030,0.994045,65
M,0.0030,0.994045,28
Q,0.0030,0.994045,84
R,0.0030,0.994045,27
H,0.0031,0.993845,58
M,0.0031,0.993845,31
Q,0.0031,0.993845,80
R,0.0031,0.993845,27
H,0.0032,0.993640,68
M,0.0032,0.993640,29
Q,0.0032,0.993640,90
R,0.0032,0.993640,30
H,0.0033,0.993448,62
M,0.0033,0.993448,26
Q,0.0033,0.993448,69
R,0.0033,0.993448,27
H,0.0034,0.993250,65
M,0.0034,0.993250,27
Q,0.0034,0.993250,67
R,0.0034,0.993250,26
H,0.0035,0.993054,58
M,0.0035,0.993054,24
Q,0.0035,0.993054,69
R,0.0035,0.993054,30
H,0.0036,0.992848,67
M,0.0036,0.992848,31
Q,0.0036,0.992848,59
R,0.0036,0.992848,33
H,0.0037,0.992659,59
M,0.0037,0.992659,29
Q,0.0037,0.992659,82
R,0.0037,0.992659,34
H,0.0038,0.992468,56
M,0.0038,0.992468,33
Q,0.0038,0.992468,75
R,0.0038,0.992468,26
H,0.0039,0.992256,58
M,0.0039,0.992256,29
Q,0.0039,0.992256,70
R,0.0039,0.992256,29
H,0.0040,0.992063,56
M,0.0040,0.992063,26
Q,0.0040,0.992063,87
R,0.0040,0.992063,37
H,0.0041,0.991871,68
M,0.0041,0.991871,39
Q,0.0041,0.991871,72
R,0.0041,0.991871,30
H,0.0042,0.991663,57
M,0.0042,0.991663,32
Q,0.0042,0.991663,79
R,0.0042,0.991663,44
H,0.0043,0.991473,62
M,0.0043,0.991473,38
Q,0.0043,0.991473,76
R,0.0043,0.991473,33
H,0.0044,0.991284,63
M,0.0044,0.991284,33
Q,0.0044,0.991284,70
R,0.0044,0.991284,38
H,0.0045,0.991088,60
M,0.0045,0.991088,34
Q,0.0045,0.991088,61
R,0.0045,0.991088,32
H,0.0046,0.990888,64
M,0.0046,0.990888,31
Q,0.0046,0.990888,75
R,0.0046,0.990888,27
H,0.0047,0.990687,54
M,0.0047,0.990687,29
Q,0.0047,0.990687,60
R,0.0047,0.990687,34
H,0.0048,0.990490,66
M,0.0048,0.990490,38
Q,0.0048,0.990490,84
R,0.0048,0.990490,34
H,0.0049,0.990308,65
M,0.0049,0.990308,41
Q,0.0049,0.990308,61
R,0.0049,0.990308,33
H,0.0050,0.990098,58
M,0.0050,0.990098,34
Q,0.0050,0.990098,86
R,0.0050,0.990098,36
H,0.0051,0.989911,62
M,0.0051,0.989911,24
Q,0.0051,0.989911,64
R,0.0051,0.989911,28
H,0.0052,0.989689,63
M,0.0052,0.989689,27
Q,0.0052,0.989689,77
R,0.0052,0.989689,39
H,0.0053,0.989493,54
M,0.0053,0.989493,25
Q,0.0053,0.989493,73
R,0.0053,0.989493,36
H,0.0054,0.989324,73
M,0.0054,0.989324,36
Q,0.0054,0.989324,60
R,0.0054,0.989324,31
H,0.0055,0.989109,66
M,0.0055,0.989109,24
Q,0.0055,0.989109,67
R,0.0055,0.989109,28
H,0.0056,0.988936,60
M,0.0056,0.988936,28
Q,0.0056,0.988936,70
R,0.0056,0.988936,26
H,0.0057,0.988737,62
M,0.0057,0.988737,36
Q,0.0057,0.988737,86
R,0.0057,0.988737,37
H,0.0058,0.988552,58
M,0.0058,0.988552,25
Q,0.0058,0.988552,67
R,0.0058,0.988552,41
H,0.0059,0.988328,63
M,0.0059,0.988328,41
Q,0.0059,0.988328,61
R,0.0059,0.988328,36
H,0.0060,0.988145,61
M,0.0060,0.988145,29
Q,0.0060,0.988145,79
R,0.0060,0.988145,33
H,0.0061,0.987943,64
M,0.0061,0.987943,27
Q,0.0061,0.987943,67
R,0.0061,0.987943,32
H,0.0062,0.987746,56
M,0.0062,0.987746,35
Q,0.0062,0.987746,79
R,0.0062,0.987746,45
H,0.0063,0.987536,63
M,0.0063,0.987536,30
Q,0.0063,0.987536,49
R,0.0063,0.987536,32
H,0.0064,0.987364,72
M,0.0064,0.987364,33
Q,0.0064,0.987364,56
R,0.0064,0.987364,27
H,0.0065,0.987162,66
M,0.0065,0.987162,28
Q,0.0065,0.987162,69
R,0.0065,0.987162,30
H,0.0066,0.987014,72
M,0.0066,0.987014,28
Q,0.0066,0.987014,96
R,0.0066,0.987014,36
H,0.0067,0.986779,54
M,0.0067,0.986779,32
Q,0.0067,0.986779,66
R,0.0067,0.986779,39
H,0.0068,0.986588,65
M,0.0068,0.986588,25
Q,0.0068,0.986588,73
R,0.0068,0.986588,43
H,0.0069,0.986395,81
M,0.0069,0.986395,36
Q,0.0069,0.986395,71
R,0.0069,0.986395,32
H,0.0070,0.986201,57
M,0.0070,0.986201,28
Q,0.0070,0.986201,62
R,0.0070,0.986201,36
H,0.0071,0.986001,69
M,0.0071,0.986001,32
Q,0.0071,0.986001,77
R,0.0071,0.986001,32
H,0.0072,0.985815,61
M,0.0072,0.985815,42
Q,0.0072,0.985815,84
R,0.0072,0.985815,37
H,0.0073,0.985614,63
M,0.0073,0.985614,31
Q,0.0073,0.985614,70
R,0.0073,0.985614,37
H,0.0074,0.985403,59
M,0.0074,0.985403,37
Q,0.0074,0.985403,63
R,0.0074,0.985403,34
H,0.0075,0.985199,62
M,0.0075,0.985199,25
Q,0.0075,0.985199,65
R,0.0075,0.985199,34
H,0.0076,0.985025,67
M,0.0076,0.985025,29
Q,0.0076,0.985025,68
R,0.0076,0.985025,27
H,0.0077,0.984833,63
M,0.0077,0.984833,32
Q,0.0077,0.984833,68
R,0.0077,0.984833,48
H,0.0078,0.984662,69
M,0.0078,0.984662,30
Q,0.0078,0.984662,71
R,0.0078,0.984662,27
H,0.0079,0.984427,61
M,0.0079,0.984427,34
Q,0.0079,0.984427,79
R,0.0079,0.984427,39
H,0.0080,0.984274,65
M,0.0080,0.984274,36
Q,0.0080,0.984274,68
R,0.0080,0.984274,33
H,0.0081,0.984064,67
M,0.0081,0.984064,32
Q,0.0081,0.984064,76
R,0.0081,0.984064,39
H,0.0082,0.983846,70
M,0.0082,0.983846,29
Q,0.0082,0.983846,63
R,0.0082,0.983846,33
H,0.0083,0.983675,73
M,0.0083,0.983675,35
Q,0.0083,0.983675,60
R,0.0083,0.983675,31
H,0.0084,0.983486,58
M,0.0084,0.983486,53
Q,0.0084,0.983486,74
R,0.0084,0.983486,40
H,0.0085,0.983279,56
M,0.0085,0.983279,28
Q,0.0085,0.983279,80
R,0.0085,0.983279,34
H,0.0086,0.983089,65
M,0.0086,0.983089,28
Q,0.0086,0.983089,64
R,0.0086,0.983089,34
H,0.0087,0.982940,67
M,0.0087,0.982940,30
Q,0.0087,0.982940,62
R,0.0087,0.982940,37
H,0.0088,0.982702,56
M,0.0088,0.982702,25
Q,0.0088,0.982702,77
R,0.0088,0.982702,32
H,0.0089,0.982507,66
M,0.0089,0.982507,30
Q,0.0089,0.982507,64
R,0.0089,0.982507,30
H,0.0090,0.982330,66
M,0.0090,0.982330,30
Q,0.0090,0.982330,64
R,0.0090,0.982330,29
H,0.0091,0.982153,56
M,0.0091,0.982153,33
Q,0.0091,0.982153,67
R,0.0091,0.982153,28
H,0.0092,0.981925,62
M,0.0092,0.981925,32
Q,0.0092,0.981925,70
R,0.0092,0.981925,38
H,0.0093,0.981729,64
M,0.0093,0.981729,28
Q,0.0093,0.981729,64
R,0.0093,0.981729,32
H,0.0094,0.981548,59
M,0.0094,0.981548,37
Q,0.0094,0.981548,58
R,0.0094,0.981548,34
H,0.0095,0.981343,57
M,0.0095,0.981343,30
Q,0.0095,0.981343,69
R,0.0095,0.981343,31
H,0.0096,0.981135,67
M,0.0096,0.981135,27
Q,0.0096,0.981135,60
R,0.0096,0.981135,29
H,0.0097,0.981001,62
M,0.0097,0.981001,32
Q,0.0097,0.981001,65
R,0.0097,0.981001,36
H,0.0098,0.980795,62
M,0.0098,0.980795,28
Q,0.0098,0.980795,55
R,0.0098,0.980795,26
H,0.0099,0.980587,59
M,0.0099,0.980587,38
Q,0.0099,0.980587,53
R,0.0099,0.980587,34
H,0.0100,0.980392,65
M,0.0100,0.980392,28
Q,0.0100,0.980392,59
R,0.0100,0.980392,36
H,0.0101,0.980225,71
M,0.0101,0.980225,32
Q,0.0101,0.980225,54
R,0.0101,0.980225,49
H,0.0102,0.979998,68
M,0.0102,0.979998,26
Q,0.0102,0.979998,64
R,0.0102,0.979998,35
H,0.0103,0.979813,57
M,0.0103,0.979813,35
Q,0.0103,0.979813,69
R,0.0103,0.979813,29
H,0.0104,0.979610,61
M,0.0104,0.979610,47
Q,0.0104,0.979610,62
R,0.0104,0.979610,26
H,0.0105,0.979452,60
M,0.0105,0.979452,25
Q,0.0105,0.979452,63
R,0.0105,0.979452,35
H,0.0106,0.979243,64
M,0.0106,0.979243,32
Q,0.0106,0.979243,70
R,0.0106,0.979243,27
H,0.0107,0.979049,58
M,0.0107,0.979049,26
Q,0.0107,0.979049,58
R,0.0107,0.979049,34
H,0.0108,0.978872,63
M,0.0108,0.978872,31
Q,0.0108,0.978872,52
R,0.0108,0.978872,31
H,0.0109,0.978655,74
M,0.0109,0.978655,35
Q,0.0109,0.978655,46
R,0.0109,0.978655,28
H,0.0110,0.978481,56
M,0.0110,0.978481,28
Q,0.0110,0.978481,52
R,0.0110,0.978481,28
H,0.0111,0.978325,64
M,0.0111,0.978325,28
Q,0.0111,0.978325,60
R,0.0111,0.978325,32
H,0.0112,0.978096,67
M,0.0112,0.978096,27
Q,0.0112,0.978096,69
R,0.0112,0.978096,42
H,0.0113,0.977876,59
M,0.0113,0.977876,29
Q,0.0113,0.977876,61
R,0.0113,0.977876,29
H,0.0114,0.977686,58
M,0.0114,0.977686,32
Q,0.0114,0.977686,51
R,0.0114,0.977686,30
H,0.0115,0.977528,60
M,0.0115,0.977528,26
Q,0.0115,0.977528,55
R,0.0115,0.977528,35
H,0.0116,0.977335,63
M,0.0116,0.977335,32
Q,0.0116,0.977335,68
R,0.0116,0.977335,32
H,0.0117,0.977166,58
M,0.0117,0.977166,33
Q,0.0117,0.977166,58
R,0.0117,0.977166,34
H,0.0118,0.976916,67
M,0.0118,0.976916,30
Q,0.0118,0.976916,63
R,0.0118,0.976916,29
H,0.0119,0.976761,64
M,0.0119,0.976761,44
Q,0.0119,0.976761,76
R,0.0119,0.976761,32
H,0.0120,0.976553,66
M,0.0120,0.976553,29
Q,0.0120,0.976553,62
R,0.0120,0.976553,35
H,0.0121,0.976386,68
M,0.0121,0.976386,26
Q,0.0121,0.976386,58
R,0.0121,0.976386,26
H,0.0122,0.976195,65
M,0.0122,0.976195,32
Q,0.0122,0.976195,66
R,0.0122,0.976195,41
H,0.0123,0.976002,59
M,0.0123,0.976002,38
Q,0.0123,0.976002,57
R,0.0123,0.976002,27
H,0.0124,0.975798,70
M,0.0124,0.975798,41
Q,0.0124,0.975798,58
R,0.0124,0.975798,34
H,0.0125,0.975601,60
M,0.0125,0.975601,38
Q,0.0125,0.975601,60
R,0.0125,0.975601,32
H,0.0126,0.975459,61
M,0.0126,0.975459,32
Q,0.0126,0.975459,64
R,0.0126,0.975459,27
H,0.0127,0.975266,64
M,0.0127,0.975266,28
Q,0.0127,0.975266,56
R,0.0127,0.975266,35
H,0.0128,0.975023,58
M,0.0128,0.975023,29
Q,0.0128,0.975023,65
R,0.0128,0.975023,27
H,0.0129,0.974840,56
M,0.0129,0.974840,41
Q,0.0129,0.974840,54
R,0.0129,0.974840,35
H,0.0130,0.974699,65
M,0.0130,0.974699,31
Q,0.0130,0.974699,62
R,0.0130,0.974699,36
H,0.0131,0.974473,66
M,0.0131,0.974473,32
Q,0.0131,0.974473,67
R,0.0131,0.974473,27
H,0.0132,0.974289,59
M,0.0132,0.974289,39
Q,0.0132,0.974289,60
R,0.0132,0.974289,42
H,0.0133,0.974125,57
M,0.0133,0.974125,29
Q,0.0133,0.974125,55
R,0.0133,0.974125,28
H,0.0134,0.973897,58
M,0.0134,0.973897,37
Q,0.0134,0.973897,72
R,0.0134,0.973897,35
H,0.0135,0.973702,58
M,0.0135,0.973702,28
Q,0.0135,0.973702,51
R,0.0135,0.973702,30
H,0.0136,0.973540,67
M,0.0136,0.973540,27
Q,0.0136,0.973540,66
R,0.0136,0.973540,27
H,0.0137,0.973319,59
M,0.0137,0.973319,26
Q,0.0137,0.973319,68
R,0.0137,0.973319,40
H,0.0138,0.973158,67
M,0.0138,0.973158,28
Q,0.0138,0.973158,62
R,0.0138,0.973158,28
H,0.0139,0.972947,62
M,0.0139,0.972947,44
Q,0.0139,0.972947,63
R,0.0139,0.972947,37
H,0.0140,0.972770,65
M,0.0140,0.972770,27
Q,0.0140,0.972770,61
R,0.0140,0.972770,29
H,0.0141,0.972589,65
M,0.0141,0.972589,33
Q,0.0141,0.972589,48
R,0.0141,0.972589,43
H,0.0142,0.972387,60
M,0.0142,0.972387,30
Q,0.0142,0.972387,59
R,0.0142,0.972387,44
H,0.0143,0.972204,63
M,0.0143,0.972204,32
Q,0.0143,0.972204,64
R,0.0143,0.972204,26
H,0.0144,0.972003,60
M,0.0144,0.972003,39
Q,0.0144,0.972003,51
R,0.0144,0.972003,38
H,0.0145,0.971809,64
M,0.0145,0.971809,35
Q,0.0145,0.971809,69
R,0.0145,0.971809,31
H,0.0146,0.971678,61
M,0.0146,0.971678,27
Q,0.0146,0.971678,64
R,0.0146,0.971678,36
H,0.0147,0.971444,70
M,0.0147,0.971444,27
Q,0.0147,0.971444,56
R,0.0147,0.971444,40
H,0.0148,0.971303,72
M,0.0148,0.971303,36
Q,0.0148,0.971303,55
R,0.0148,0.971303,31
H,0.0149,0.971066,66
M,0.0149,0.971066,36
Q,0.0149,0.971066,62
R,0.0149,0.971066,45
H,0.0150,0.970850,57
M,0.0150,0.970850,32
Q,0.0150,0.970850,53
R,0.0150,0.970850,33
H,0.0151,0.970737,66
M,0.0151,0.970737,32
Q,0.0151,0.970737,55
R,0.0151,0.970737,30
H,0.0152,0.970472,67
M,0.0152,0.970472,37
Q,0.0152,0.970472,62
R,0.0152,0.970472,34
H,0.0153,0.970270,70
M,0.0153,0.970270,31
Q,0.0153,0.970270,52
R,0.0153,0.970270,28
H,0.0154,0.970182,60
M,0.0154,0.970182,39
Q,0.0154,0.970182,62
R,0.0154,0.970182,46
H,0.0155,0.969913,70
M,0.0155,0.969913,34
Q,0.0155,0.969913,54
R,0.0155,0.969913,31
H,0.0156,0.969743,66
M,0.0156,0.969743,33
Q,0.0156,0.969743,61
R,0.0156,0.969743,32
H,0.0157,0.969567,62
M,0.0157,0.969567,27
Q,0.0157,0.969567,58
R,0.0157,0.969567,39
H,0.0158,0.969391,77
M,0.0158,0.969391,29
Q,0.0158,0.969391,59
R,0.0158,0.969391,27
H,0.0159,0.969259,71
M,0.0159,0.969259,39
Q,0.0159,0.969259,70
R,0.0159,0.969259,28
H,0.0160,0.968990,60
M,0.0160,0.968990,28
Q,0.0160,0.968990,59
R,0.0160,0.968990,33
