Algorithm,swapRate,SortedRatio,ExecutionTime
I,0.000000,1.000000,5
H,0.000000,1.000000,62
M,0.000000,1.000000,27
Q,0.000000,1.000000,461
R,0.000000,1.000000,30
I,0.000001,0.999998,2
H,0.000001,0.999998,51
M,0.000001,0.999998,32
Q,0.000001,0.999998,442
R,0.000001,0.999998,24
I,0.000002,0.999996,2
H,0.000002,0.999996,49
M,0.000002,0.999996,22
Q,0.000002,0.999996,784
R,0.000002,0.999996,34
I,0.000003,0.999994,3
H,0.000003,0.999994,50
M,0.000003,0.999994,24
Q,0.000003,0.999994,524
R,0.000003,0.999994,21
I,0.000004,0.999992,5
H,0.000004,0.999992,51
M,0.000004,0.999992,24
Q,0.000004,0.999992,454
R,0.000004,0.999992,21
I,0.000005,0.999990,7
H,0.000005,0.999990,48
M,0.000005,0.999990,23
Q,0.000005,0.999990,835
R,0.000005,0.999990,20
I,0.000006,0.999990,6
H,0.000006,0.999990,49
M,0.000006,0.999990,23
Q,0.000006,0.999990,462
R,0.000006,0.999990,21
I,0.000007,0.999988,7
H,0.000007,0.999988,48
M,0.000007,0.999988,22
Q,0.000007,0.999988,344
R,0.000007,0.999988,20
I,0.000008,0.999984,11
H,0.000008,0.999984,48
M,0.000008,0.999984,24
Q,0.000008,0.999984,687
R,0.000008,0.999984,20
I,0.000009,0.999982,10
H,0.000009,0.999982,48
M,0.000009,0.999982,24
Q,0.000009,0.999982,681
R,0.000009,0.999982,21
I,0.000010,0.999980,14
H,0.000010,0.999980,48
M,0.000010,0.999980,23
Q,0.000010,0.999980,376
R,0.000010,0.999980,21
I,0.000011,0.999978,17
H,0.000011,0.999978,49
M,0.000011,0.999978,23
Q,0.000011,0.999978,407
R,0.000011,0.999978,21
I,0.000012,0.999976,12
H,0.000012,0.999976,47
M,0.000012,0.999976,23
Q,0.000012,0.999976,638
R,0.000012,0.999976,21
I,0.000013,0.999974,16
H,0.000013,0.999974,48
M,0.000013,0.999974,24
Q,0.000013,0.999974,668
R,0.000013,0.999974,21
I,0.000014,0.999972,16
H,0.000014,0.999972,48
M,0.000014,0.999972,24
Q,0.000014,0.999972,464
R,0.000014,0.999972,21
I,0.000015,0.999970,13
H,0.000015,0.999970,48
M,0.000015,0.999970,23
Q,0.000015,0.999970,458
R,0.000015,0.999970,20
I,0.000016,0.999968,14
H,0.000016,0.999968,47
M,0.000016,0.999968,23
Q,0.000016,0.999968,358
R,0.000016,0.999968,21
I,0.000017,0.999966,18
H,0.000017,0.999966,48
M,0.000017,0.999966,24
Q,0.000017,0.999966,346
R,0.000017,0.999966,21
I,0.000018,0.999964,17
H,0.000018,0.999964,49
M,0.000018,0.999964,24
Q,0.000018,0.999964,432
R,0.000018,0.999964,20
I,0.000019,0.999962,22
H,0.000019,0.999962,48
M,0.000019,0.999962,23
Q,0.000019,0.999962,518
R,0.000019,0.999962,21
I,0.000020,0.999960,18
H,0.000020,0.999960,48
M,0.000020,0.999960,23
Q,0.000020,0.999960,446
R,0.000020,0.999960,21
I,0.000021,0.999958,21
H,0.000021,0.999958,48
M,0.000021,0.999958,24
Q,0.000021,0.999958,389
R,0.000021,0.999958,21
I,0.000022,0.999956,24
H,0.000022,0.999956,48
M,0.000022,0.999956,24
Q,0.000022,0.999956,573
R,0.000022,0.999956,21
I,0.000023,0.999954,24
H,0.000023,0.999954,47
M,0.000023,0.999954,25
Q,0.000023,0.999954,382
R,0.000023,0.999954,20
I,0.000024,0.999952,26
H,0.000024,0.999952,48
M,0.000024,0.999952,24
Q,0.000024,0.999952,395
R,0.000024,0.999952,20
I,0.000025,0.999950,27
H,0.000025,0.999950,49
M,0.000025,0.999950,25
Q,0.000025,0.999950,336
R,0.000025,0.999950,21
I,0.000026,0.999948,27
H,0.000026,0.999948,48
M,0.000026,0.999948,24
Q,0.000026,0.999948,340
R,0.000026,0.999948,23
I,0.000027,0.999946,36
H,0.000027,0.999946,50
M,0.000027,0.999946,25
Q,0.000027,0.999946,347
R,0.000027,0.999946,21
I,0.000028,0.999944,29
H,0.000028,0.999944,51
M,0.000028,0.999944,25
Q,0.000028,0.999944,407
R,0.000028,0.999944,24
I,0.000029,0.999942,38
H,0.000029,0.999942,52
M,0.000029,0.999942,26
Q,0.000029,0.999942,393
R,0.000029,0.999942,24
I,0.000030,0.999940,32
H,0.000030,0.999940,52
M,0.000030,0.999940,26
Q,0.000030,0.999940,324
R,0.000030,0.999940,23
I,0.000031,0.999938,33
H,0.000031,0.999938,52
M,0.000031,0.999938,26
Q,0.000031,0.999938,564
R,0.000031,0.999938,20
I,0.000032,0.999936,35
H,0.000032,0.999936,48
M,0.000032,0.999936,24
Q,0.000032,0.999936,354
R,0.000032,0.999936,24
I,0.000033,0.999934,39
H,0.000033,0.999934,52
M,0.000033,0.999934,26
Q,0.000033,0.999934,983
R,0.000033,0.999934,21
I,0.000034,0.999932,37
H,0.000034,0.999932,48
M,0.000034,0.999932,24
Q,0.000034,0.999932,290
R,0.000034,0.999932,21
I,0.000035,0.999930,46
H,0.000035,0.999930,48
M,0.000035,0.999930,24
Q,0.000035,0.999930,427
R,0.000035,0.999930,21
I,0.000036,0.999930,35
H,0.000036,0.999930,48
M,0.000036,0.999930,24
Q,0.000036,0.999930,270
R,0.000036,0.999930,20
I,0.000037,0.999928,36
H,0.000037,0.999928,49
M,0.000037,0.999928,25
Q,0.000037,0.999928,327
R,0.000037,0.999928,20
I,0.000038,0.999926,40
H,0.000038,0.999926,47
M,0.000038,0.999926,24
Q,0.000038,0.999926,329
R,0.000038,0.999926,21
I,0.000039,0.999924,42
H,0.000039,0.999924,48
M,0.000039,0.999924,24
