Test Case,Algorithm,Execution Time,std
r 10000 0.1000,H,1,0.1000
r 10000 0.1000,M,1,0.1000
r 10000 0.1000,Q,0,0.1000
r 10000 0.1000,R,0,0.1000
r 10000 0.1001,H,1,0.1001
r 10000 0.1001,M,0,0.1001
r 10000 0.1001,Q,1,0.1001
r 10000 0.1001,R,0,0.1001
r 10000 0.1002,H,0,0.1002
r 10000 0.1002,M,0,0.1002
r 10000 0.1002,Q,0,0.1002
r 10000 0.1002,R,0,0.1002
r 10000 0.1003,H,0,0.1003
r 10000 0.1003,M,0,0.1003
r 10000 0.1003,Q,1,0.1003
r 10000 0.1003,R,0,0.1003
r 10000 0.1004,H,0,0.1004
r 10000 0.1004,M,0,0.1004
r 10000 0.1004,Q,0,0.1004
r 10000 0.1004,R,0,0.1004
r 10000 0.1005,H,0,0.1005
r 10000 0.1005,M,0,0.1005
r 10000 0.1005,Q,0,0.1005
r 10000 0.1005,R,0,0.1005
r 10000 0.1006,H,0,0.1006
r 10000 0.1006,M,0,0.1006
r 10000 0.1006,Q,0,0.1006
r 10000 0.1006,R,0,0.1006
r 10000 0.1007,H,1,0.1007
r 10000 0.1007,M,1,0.1007
r 10000 0.1007,Q,0,0.1007
r 10000 0.1007,R,1,0.1007
r 10000 0.1008,H,0,0.1008
r 10000 0.1008,M,0,0.1008
r 10000 0.1008,Q,0,0.1008
r 10000 0.1008,R,0,0.1008
r 10000 0.1009,H,0,0.1009
r 10000 0.1009,M,0,0.1009
r 10000 0.1009,Q,0,0.1009
r 10000 0.1009,R,0,0.1009
r 10000 0.1010,H,0,0.1010
r 10000 0.1010,M,0,0.1010
r 10000 0.1010,Q,1,0.1010
r 10000 0.1010,R,0,0.1010
r 10000 0.1011,H,0,0.1011
r 10000 0.1011,M,0,0.1011
r 10000 0.1011,Q,0,0.1011
r 10000 0.1011,R,1,0.1011
r 10000 0.1012,H,0,0.1012
r 10000 0.1012,M,1,0.1012
r 10000 0.1012,Q,0,0.1012
r 10000 0.1012,R,0,0.1012
r 10000 0.1013,H,0,0.1013
r 10000 0.1013,M,1,0.1013
r 10000 0.1013,Q,0,0.1013
r 10000 0.1013,R,0,0.1013
r 10000 0.1014,H,1,0.1014
r 10000 0.1014,M,0,0.1014
r 10000 0.1014,Q,0,0.1014
r 10000 0.1014,R,0,0.1014
r 10000 0.1015,H,0,0.1015
r 10000 0.1015,M,1,0.1015
r 10000 0.1015,Q,0,0.1015
r 10000 0.1015,R,0,0.1015
r 10000 0.1016,H,1,0.1016
r 10000 0.1016,M,0,0.1016
r 10000 0.1016,Q,0,0.1016
r 10000 0.1016,R,0,0.1016
r 10000 0.1017,H,0,0.1017
r 10000 0.1017,M,0,0.1017
r 10000 0.1017,Q,0,0.1017
r 10000 0.1017,R,0,0.1017
r 10000 0.1018,H,0,0.1018
r 10000 0.1018,M,0,0.1018
r 10000 0.1018,Q,0,0.1018
r 10000 0.1018,R,0,0.1018
r 10000 0.1019,H,0,0.1019
r 10000 0.1019,M,1,0.1019
r 10000 0.1019,Q,0,0.1019
r 10000 0.1019,R,0,0.1019
r 10000 0.1020,H,0,0.1020
r 10000 0.1020,M,0,0.1020
r 10000 0.1020,Q,0,0.1020
r 10000 0.1020,R,0,0.1020
r 10000 0.1021,H,0,0.1021
r 10000 0.1021,M,1,0.1021
r 10000 0.1021,Q,0,0.1021
r 10000 0.1021,R,0,0.1021
r 10000 0.1022,H,0,0.1022
r 10000 0.1022,M,0,0.1022
r 10000 0.1022,Q,0,0.1022
r 10000 0.1022,R,0,0.1022
r 10000 0.1023,H,1,0.1023
r 10000 0.1023,M,1,0.1023
r 10000 0.1023,Q,0,0.1023
r 10000 0.1023,R,0,0.1023
r 10000 0.1024,H,0,0.1024
r 10000 0.1024,M,0,0.1024
r 10000 0.1024,Q,0,0.1024
r 10000 0.1024,R,0,0.1024
r 10000 0.1025,H,0,0.1025
r 10000 0.1025,M,0,0.1025
r 10000 0.1025,Q,0,0.1025
r 10000 0.1025,R,1,0.1025
r 10000 0.1026,H,0,0.1026
r 10000 0.1026,M,1,0.1026
r 10000 0.1026,Q,0,0.1026
r 10000 0.1026,R,0,0.1026
r 10000 0.1027,H,1,0.1027
r 10000 0.1027,M,0,0.1027
r 10000 0.1027,Q,0,0.1027
r 10000 0.1027,R,0,0.1027
r 10000 0.1028,H,0,0.1028
r 10000 0.1028,M,0,0.1028
r 10000 0.1028,Q,0,0.1028
r 10000 0.1028,R,0,0.1028
r 10000 0.1029,H,0,0.1029
r 10000 0.1029,M,0,0.1029
r 10000 0.1029,Q,0,0.1029
r 10000 0.1029,R,1,0.1029
r 10000 0.1030,H,1,0.1030
r 10000 0.1030,M,0,0.1030
r 10000 0.1030,Q,0,0.1030
r 10000 0.1030,R,0,0.1030
r 10000 0.1031,H,1,0.1031
r 10000 0.1031,M,0,0.1031
r 10000 0.1031,Q,0,0.1031
r 10000 0.1031,R,0,0.1031
r 10000 0.1032,H,0,0.1032
r 10000 0.1032,M,0,0.1032
r 10000 0.1032,Q,0,0.1032
r 10000 0.1032,R,0,0.1032
r 10000 0.1033,H,1,0.1033
r 10000 0.1033,M,0,0.1033
r 10000 0.1033,Q,0,0.1033
r 10000 0.1033,R,0,0.1033
r 10000 0.1034,H,0,0.1034
r 10000 0.1034,M,0,0.1034
r 10000 0.1034,Q,0,0.1034
r 10000 0.1034,R,0,0.1034
r 10000 0.1035,H,0,0.1035
r 10000 0.1035,M,0,0.1035
r 10000 0.1035,Q,0,0.1035
r 10000 0.1035,R,0,0.1035
r 10000 0.1036,H,0,0.1036
r 10000 0.1036,M,0,0.1036
r 10000 0.1036,Q,1,0.1036
r 10000 0.1036,R,0,0.1036
r 10000 0.1037,H,0,0.1037
r 10000 0.1037,M,1,0.1037
r 10000 0.1037,Q,0,0.1037
r 10000 0.1037,R,0,0.1037
r 10000 0.1038,H,0,0.1038
r 10000 0.1038,M,0,0.1038
r 10000 0.1038,Q,0,0.1038
r 10000 0.1038,R,0,0.1038
r 10000 0.1039,H,0,0.1039
r 10000 0.1039,M,0,0.1039
r 10000 0.1039,Q,0,0.1039
r 10000 0.1039,R,0,0.1039
r 10000 0.1040,H,0,0.1040
r 10000 0.1040,M,3,0.1040
r 10000 0.1040,Q,0,0.1040
r 10000 0.1040,R,0,0.1040
r 10000 0.1041,H,0,0.1041
r 10000 0.1041,M,1,0.1041
r 10000 0.1041,Q,0,0.1041
r 10000 0.1041,R,0,0.1041
r 10000 0.1042,H,1,0.1042
r 10000 0.1042,M,0,0.1042
r 10000 0.1042,Q,0,0.1042
r 10000 0.1042,R,0,0.1042
r 10000 0.1043,H,0,0.1043
r 10000 0.1043,M,0,0.1043
r 10000 0.1043,Q,0,0.1043
r 10000 0.1043,R,0,0.1043
r 10000 0.1044,H,0,0.1044
r 10000 0.1044,M,1,0.1044
r 10000 0.1044,Q,0,0.1044
r 10000 0.1044,R,0,0.1044
r 10000 0.1045,H,0,0.1045
r 10000 0.1045,M,1,0.1045
r 10000 0.1045,Q,1,0.1045
r 10000 0.1045,R,0,0.1045
r 10000 0.1046,H,0,0.1046
r 10000 0.1046,M,0,0.1046
r 10000 0.1046,Q,0,0.1046
r 10000 0.1046,R,0,0.1046
r 10000 0.1047,H,1,0.1047
r 10000 0.1047,M,0,0.1047
r 10000 0.1047,Q,0,0.1047
r 10000 0.1047,R,1,0.1047
r 10000 0.1048,H,1,0.1048
r 10000 0.1048,M,0,0.1048
r 10000 0.1048,Q,0,0.1048
r 10000 0.1048,R,0,0.1048
r 10000 0.1049,H,0,0.1049
r 10000 0.1049,M,0,0.1049
