Test Case,Algorithm,Avg Time,Std Dev,Min Time,Max Time
r 1000 -1000 1000,Bubble Sort,0.80,0.65,0,3
r 10000 -10000 10000,Bubble Sort,70.30,6.52,63,85
r 100000 -100000 100000,Bubble Sort,11234.90,136.89,11113,11610
r 1000000 -1000000 1000000,Bubble Sort,1173266.17,3735.19,1169668,1184738
rs 1000 -1000 1000,Bubble Sort,0.00,0.00,0,0
rs 10000 -10000 10000,Bubble Sort,0.00,0.00,0,0
rs 100000 -100000 100000,Bubble Sort,0.03,0.18,0,1
rs 1000000 -1000000 1000000,Bubble Sort,0.37,0.48,0,1
rr 1000 -1000 1000,Bubble Sort,0.87,0.34,0,1
rr 10000 -10000 10000,Bubble Sort,89.57,0.96,88,91
rr 100000 -100000 100000,Bubble Sort,9036.80,9.75,9023,9057
rr 1000000 -1000000 1000000,Bubble Sort,911066.07,1219.46,908570,914622
